image,name,price,supermarket_name,category
https://metroio.vtexassets.com/arquivos/ids/244484-144-144?v=638173935818000000&width=144&height=144&aspect=true,Toallitas Húmedas Huggies Limpieza Efectiva 48un ,S/ 6.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/461141-144-144?v=638285930806500000&width=144&height=144&aspect=true,Jabón Líquido Johnson's Avena 400ml ,S/ 30.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/512404-144-144?v=638430214815070000&width=144&height=144&aspect=true,Galletas para Bebés Gerber 70g ,S/ 12.40 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/451256-144-144?v=638285099574000000&width=144&height=144&aspect=true,Mordedor Nuby Teethi Keys ,S/ 8.37 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/495145-144-144?v=638339505899630000&width=144&height=144&aspect=true,Pañales para Bebé Babysec Recién Nacido 20un ,S/ 15.70 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/251970-144-144?v=638173963132970000&width=144&height=144&aspect=true,Loción Antimosquito Hora de Jugar Johnson's Baby Frasco 200 ml ,S/ 33.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/461130-144-144?v=638285930466230000&width=144&height=144&aspect=true,Acondicionador Fuerza y Vitamina Johnson's Baby Frasco 400 ml ,S/ 27.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/453518-144-144?v=638285249810670000&width=144&height=144&aspect=true,Toallitas Húmedas Zeukids Baby Care 80un ,S/ 9.70 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/277997-144-144?v=638179304929970000&width=144&height=144&aspect=true,Juguete Preescolar Fisher Price Amigos Poppity Pop ,S/ 34.99 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/494185-144-144?v=638337765790870000&width=144&height=144&aspect=true,Pack Pañales Pampers Premium Care + Pants Talla XG 120un ,S/ 145.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/512397-144-144?v=638430214790400000&width=144&height=144&aspect=true,Galletas Gerber Nutri Puffs Naranja y Plátano 42g ,S/ 19.60 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/514303-144-144?v=638445441707930000&width=144&height=144&aspect=true,Twopack Pañales para Bebé Babysec Super Premium Talla XG 68un ,S/ 116.90 ,metro,Cuidado del Bebe
https://metroio.vtexassets.com/arquivos/ids/396314-144-144?v=638180789559430000&width=144&height=144&aspect=true,Jabón Líquido Sensible Dove Baby 400ml ,S/ 27.90 ,metro,Cuidado del Bebe
